,operationId,poolId,poolName,operation,status,updateTime,shareAmount
0,1718116,21,LINK/BTC,REMOVE,1,1630572988000,0.99293295
1,1717574,93,SXP/BTC,REMOVE,1,1630569799000,0.8805557
2,1717571,76,THETA/BTC,REMOVE,1,1630569780000,0.32325437
3,1717568,28,UNI/BTC,REMOVE,1,1630569770000,0.09865429
4,1717564,25,ETH/BETH,REMOVE,1,1630569760000,0.63961104
5,1717552,24,DOT/BTC,REMOVE,1,1630569708000,0.42321252
6,1717548,50,ADA/BTC,REMOVE,1,1630569695000,5.10809181
7,1717534,18,BNB/BTC,REMOVE,1,1630569623000,0.26338885
8,2755958,93,SXP/BTC,ADD,1,1630502796000,0.8805557
9,1706946,93,SXP/BTC,REMOVE,1,1630499719000,0.88380319
10,2752154,25,ETH/BETH,ADD,1,1630486082000,0.1388274
11,1640092,18,BNB/BTC,REMOVE,1,1629873238000,0.1
12,2579958,50,ADA/BTC,ADD,1,1629467013000,5.10809181
13,2567129,25,ETH/BETH,ADD,1,1629405435000,0.50078364
14,1575106,25,ETH/BETH,REMOVE,1,1629405228000,0.97053363
15,1559431,24,DOT/BTC,REMOVE,1,1629281270000,0.35
16,1545462,50,ADA/BTC,REMOVE,1,1629181520000,2.34561416
17,1482101,50,ADA/BTC,REMOVE,1,1628743756000,1
18,1482093,18,BNB/BTC,REMOVE,1,1628743674000,0.1
19,2349477,18,BNB/BTC,ADD,1,1628355914000,0.43608341
20,2349473,24,DOT/BTC,ADD,1,1628355889000,0.49871436
21,1424085,23,DOT/BNB,REMOVE,1,1628355479000,19.78103523
22,2349294,93,SXP/BTC,ADD,1,1628354998000,0.88380319
23,1423986,93,SXP/BTC,REMOVE,1,1628354830000,3.5292293
24,2274677,18,BNB/BTC,ADD,1,1627846669000,0.02730544
25,2274654,50,ADA/BTC,ADD,1,1627846521000,2.06676531
26,2274624,25,ETH/BETH,ADD,1,1627846291000,0.00570394
27,2228714,93,SXP/BTC,ADD,1,1627543442000,3.5292293
28,1749207,50,ADA/BTC,ADD,1,1624954590000,1.27884885
29,1749202,24,DOT/BTC,ADD,1,1624954570000,0.27449816
30,1749180,23,DOT/BNB,ADD,1,1624954497000,0.51353467
31,1749166,76,THETA/BTC,ADD,1,1624954443000,0.32325437
32,1179272,25,ETH/BETH,ADD,1,1622006836000,0.04019953
33,1179230,28,UNI/BTC,ADD,1,1622006671000,0.09865429
34,1179211,23,DOT/BNB,ADD,1,1622006547000,19.26750056
35,996602,21,LINK/BTC,ADD,1,1621064817000,0.99293295
36,989248,25,ETH/BETH,ADD,1,1621023357000,0.77028816
37,959452,25,ETH/BETH,ADD,1,1620897018000,0.154342
