,symbol,orderId,orderListId,clientOrderId,price,origQty,executedQty,cummulativeQuoteQty,status,timeInForce,type,side,stopPrice,icebergQty,time,updateTime,isWorking,origQuoteOrderQty,cost,cost_qty
0,LINKBTC,339623636,-1,web_a8d1445dfa29470e8f7f2804eb89562a,0.00140183,6.50000000,6.5,0.00911189,FILLED,GTC,LIMIT,BUY,0.00000000,0.00000000,1597913487590,1597913498529,True,0.00000000,0.00911189,6.5
1,LINKBTC,339729516,-1,web_5cc762b781b5458ab44b931cb057847e,0.00141029,6.40000000,-6.4,-0.00902585,FILLED,GTC,LIMIT,SELL,0.00000000,0.00000000,1597921023886,1597921032976,True,0.00000000,-0.00902585,-6.4
2,LINKBTC,339863700,-1,web_b1ad2fce94414c3797bd055cc362a00b,0.00139527,6.50000000,6.5,0.00906925,FILLED,GTC,LIMIT,BUY,0.00000000,0.00000000,1597930535333,1597930540200,True,0.00000000,0.00906925,6.5
3,XRPBTC,395516988,-1,web_2579525b65aa4bc5bcd3fb979347fbae,0.00002489,364.00000000,364.0,0.00905268,FILLED,GTC,LIMIT,BUY,0.00000000,0.00000000,1597842913784,1597842913784,True,0.00000000,0.00905268,364.0
4,XRPBTC,395518777,7304960,web_5e8ee1ab9fef4180ac76331675d0557d,0.00002443,363.00000000,-363.0,-0.0088935,FILLED,GTC,STOP_LOSS_LIMIT,SELL,0.00002450,0.00000000,1597843152820,1597854341255,True,0.00000000,-0.0088935,-363.0
5,XRPBTC,395518778,7304960,sQ0KuI7i5koJ1RrotdebAX,0.00002590,363.00000000,-0.0,-0.0,EXPIRED,GTC,LIMIT_MAKER,SELL,0.00000000,0.00000000,1597843152820,1597854341255,True,0.00000000,-0.0,-0.0
6,ADABTC,288721449,-1,web_13f33f5608724d54a3df67cdbfa73c62,0.00000000,185.00000000,-185.0,-0.00368705,FILLED,GTC,MARKET,SELL,0.00000000,0.00000000,1613829054268,1613829054268,True,0.00000000,-0.00368705,-185.0
7,ADABTC,480514330,-1,and_64adc76ff9be454c91983f9409b87cc7,0.00003975,161.00000000,-161.0,-0.00639975,FILLED,GTC,LIMIT,SELL,0.00000000,0.00000000,1628744022512,1628744022512,True,0.00000000,-0.00639975,-161.0
8,AIONBTC,80111868,-1,web_dedd7918d1244ceeb41dc855d175e679,0.00001074,829.00000000,829.0,0.00890346,FILLED,GTC,LIMIT,BUY,0.00000000,0.00000000,1597872240118,1597872240118,True,0.00000000,0.00890346,829.0
9,AIONBTC,80114381,-1,web_92975d7508d24b7a9cc87c02f67ab773,0.00001110,828.00000000,-828.0,-0.0091908,FILLED,GTC,LIMIT,SELL,0.00000000,0.00000000,1597874195325,1597893841128,True,0.00000000,-0.0091908,-828.0
10,ATOMBTC,232609942,-1,and_5ede0e76451c418682a2ab45631930ab,0.00038210,24.67000000,24.67,0.0094264,FILLED,GTC,LIMIT,BUY,0.00000000,0.00000000,1619100747596,1619100749563,True,0.00000000,0.0094264,24.67
11,ATOMBTC,232613371,-1,and_316c2369f77b41039d61f72d54e19a51,0.00038300,18.50000000,-18.5,-0.0070855,FILLED,GTC,LIMIT,SELL,0.00000000,0.00000000,1619101108929,1619101506612,True,0.00000000,-0.0070855,-18.5
12,ATOMBTC,253466406,-1,and_c6e7b90e50e54783b6d9092eb74af8c6,0.00056900,6.17000000,-6.17,-0.00351073,FILLED,GTC,LIMIT,SELL,0.00000000,0.00000000,1621084907391,1621084907414,True,0.00000000,-0.00351073,-6.17
13,ADABUSD,523154266,-1,and_7825a493d42444a09857775d9b722aeb,2.34000000,229.00000000,-229.0,-535.86,FILLED,GTC,LIMIT,SELL,0.00000000,0.00000000,1629405621458,1629405622132,True,0.00000000,-535.86,-229.0
14,BTCEUR,55599634,-1,and_02b7a14af5db4ab7a6475713022e6877,10016.41000000,0.00929000,0.00929,93.05031618,FILLED,GTC,LIMIT,BUY,0.00000000,0.00000000,1597588017200,1597588024697,True,0.00000000,93.05031618,0.00929
15,BTCEUR,316615323,-1,and_1450cb94d5ba4525ad4a7836e31dc552,32759.99000000,0.00610600,0.006106,200.03249894,FILLED,GTC,LIMIT,BUY,0.00000000,0.00000000,1612598271219,1612598278016,True,0.00000000,200.03249894,0.006106
16,BTCEUR,317087510,-1,web_bbdf41c820b149ab92b6f29de0389be2,33081.80000000,0.00604600,0.006046,200.0125628,FILLED,GTC,LIMIT,BUY,0.00000000,0.00000000,1612607874180,1612607878773,True,0.00000000,200.0125628,0.006046
